TICK=00045 MPC=046 FETCH_OPERAND    PC=0x00000100 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00046 MPC=047 FETCH_OPERAND    PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00FFF402
TICK=00047 MPC=048 DECODE           PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4] ; super=blocked:control-or-io
TICK=00048 MPC=049 READ_BYTE_SOURCE PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_SOURCE: LOADB R1, [0xFFF4]
TICK=00049 MPC=050 WRITE_DESTINATION PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: LOADB R1, [0xFFF4]
TICK=00050 MPC=051 COMMIT           PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4]
TICK=00051 MPC=052 FETCH_HEADER     PC=0x00000108 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000104 header=0x00000208 operands=2
TICK=00052 MPC=053 FETCH_OPERAND    PC=0x0000010C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00053 MPC=054 FETCH_OPERAND    PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000A01
TICK=00054 MPC=055 DECODE           PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10 ; super=blocked:control-or-io
TICK=00055 MPC=056 READ_LEFT        PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #10
TICK=00056 MPC=057 READ_RIGHT       PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #10
TICK=00057 MPC=058 ALU_SUB          PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #10
TICK=00058 MPC=059 UPDATE_FLAGS     PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #10
