TICK=00090 MPC=091 FETCH            PC=0x000000FC SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000F8 header=0x00000214
TICK=00091 MPC=092 DECODE           PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4] ; super=blocked:control-or-io
TICK=00092 MPC=093 EXEC_LOAD_BYTE   PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4]
TICK=00093 MPC=094 FETCH            PC=0x00000108 SP=0x00007FFC FLAGS=G   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000104 header=0x00000208
TICK=00094 MPC=095 DECODE           PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10 ; super=blocked:control-or-io
TICK=00095 MPC=096 EXEC_COMPARE     PC=0x00000110 SP=0x00007FFC FLAGS=Z   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10
TICK=00096 MPC=097 FETCH            PC=0x00000114 SP=0x00007FFC FLAGS=Z   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000110 header=0x0000010A
TICK=00097 MPC=098 DECODE           PC=0x00000118 SP=0x00007FFC FLAGS=Z   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00098 MPC=099 EXEC_BRANCH      PC=0x00000158 SP=0x00007FFC FLAGS=Z   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00099 MPC=100 FETCH            PC=0x0000015C SP=0x00007FFC FLAGS=Z   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000158 header=0x00000013
TICK=00100 MPC=101 DECODE           PC=0x0000015C SP=0x00007FFC FLAGS=Z   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: RET ; super=blocked:control-or-io
TICK=00101 MPC=102 EXEC_RET         PC=0x00000014 SP=0x00008000 FLAGS=Z   R0=10 R1=10 R2=0 R3=0 R4=0 R5=0 :: RET
