TICK=00047 MPC=048 MEM_WRITE_STACK  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: MEM_WRITE_STACK: PUSH R2
TICK=00048 MPC=049 COMMIT           PC=0x00000058 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: PUSH R2
TICK=00049 MPC=050 FETCH_HEADER     PC=0x0000005C SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000208 operands=2
TICK=00050 MPC=051 FETCH_OPERAND    PC=0x00000060 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
TICK=00051 MPC=052 FETCH_OPERAND    PC=0x00000064 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000001
TICK=00052 MPC=053 DECODE           PC=0x00000064 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: CMP R0, #0 ; super=blocked:control-or-io
TICK=00053 MPC=054 READ_LEFT        PC=0x00000064 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R0, #0
TICK=00054 MPC=055 READ_RIGHT       PC=0x00000064 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R0, #0
TICK=00055 MPC=056 ALU_SUB          PC=0x00000064 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R0, #0
TICK=00056 MPC=057 UPDATE_FLAGS     PC=0x00000064 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R0, #0
TICK=00057 MPC=058 COMMIT           PC=0x00000064 SP=0x00007FF4 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: CMP R0, #0
