TICK=00107 MPC=108 EXEC_COMPARE     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00108 MPC=109 FETCH            PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A
TICK=00109 MPC=110 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00110 MPC=111 EXEC_BRANCH      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00111 MPC=112 FETCH            PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215
TICK=00112 MPC=113 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00113 MPC=114 EXEC_STORE_BYTE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00114 MPC=115 FETCH            PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203
TICK=00115 MPC=116 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00116 MPC=117 EXEC_ALU_ADD     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=518 R1=44 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00117 MPC=118 FETCH            PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=518 R1=44 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109
TICK=00118 MPC=119 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=518 R1=44 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00119 MPC=120 EXEC_BRANCH      PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=518 R1=44 R2=0 R3=0 R4=0 R5=0 :: JMP #44
TICK=00120 MPC=121 FETCH            PC=0x00000030 SP=0x00007FF8 FLAGS=G   R0=518 R1=44 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214
TICK=00121 MPC=122 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=518 R1=44 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00122 MPC=123 EXEC_LOAD_BYTE   PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00123 MPC=124 FETCH            PC=0x0000003C SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208
TICK=00124 MPC=125 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00125 MPC=126 EXEC_COMPARE     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00126 MPC=127 FETCH            PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A
TICK=00127 MPC=128 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00128 MPC=129 EXEC_BRANCH      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00129 MPC=130 FETCH            PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215
TICK=00130 MPC=131 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00131 MPC=132 EXEC_STORE_BYTE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00132 MPC=133 FETCH            PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203
TICK=00133 MPC=134 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=518 R1=32 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00134 MPC=135 EXEC_ALU_ADD     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=519 R1=32 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00135 MPC=136 FETCH            PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=519 R1=32 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109
TICK=00136 MPC=137 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=519 R1=32 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00137 MPC=138 EXEC_BRANCH      PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=519 R1=32 R2=0 R3=0 R4=0 R5=0 :: JMP #44
