TICK=00044 MPC=045 COMMIT           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00045 MPC=046 FETCH_HEADER     PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A operands=1
TICK=00046 MPC=047 FETCH_OPERAND    PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00006C01
TICK=00047 MPC=048 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00048 MPC=049 READ_TARGET      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #108
TICK=00049 MPC=050 EVALUATE_BRANCH  PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #108
TICK=00050 MPC=051 COMMIT           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00051 MPC=052 FETCH_HEADER     PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215 operands=2
TICK=00052 MPC=053 FETCH_OPERAND    PC=0x00000054 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00FFF802
TICK=00053 MPC=054 FETCH_OPERAND    PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000100
TICK=00054 MPC=055 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00055 MPC=056 READ_BYTE_VALUE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_VALUE: STOREB [0xFFF8], R1
TICK=00056 MPC=057 WRITE_BYTE_DESTINATION PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: WRITE_BYTE_DESTINATION: STOREB [0xFFF8], R1
TICK=00057 MPC=058 COMMIT           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00058 MPC=059 FETCH_HEADER     PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203 operands=2
TICK=00059 MPC=060 FETCH_OPERAND    PC=0x00000060 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
TICK=00060 MPC=061 FETCH_OPERAND    PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000101
TICK=00061 MPC=062 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00062 MPC=063 READ_LEFT        PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: ADD R0, #1
TICK=00063 MPC=064 READ_RIGHT       PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: ADD R0, #1
TICK=00064 MPC=065 ALU_ADD          PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: ALU_ADD: ADD R0, #1
TICK=00065 MPC=066 WRITE_BACK       PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: WRITE_BACK: ADD R0, #1
TICK=00066 MPC=067 UPDATE_FLAGS     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: ADD R0, #1
TICK=00067 MPC=068 COMMIT           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00068 MPC=069 FETCH_HEADER     PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109 operands=1
